Reactome,m,proteins
Signaling by FGFR2 in disease,24,FGF20_HUMAN;FGF22_HUMAN;FGF23_HUMAN;FRS2_HUMAN;GAB1_HUMAN;SOS1_HUMAN;PK3CA_HUMAN;FGF9_HUMAN;P85A_HUMAN;FGFR2_HUMAN;FGFR2_HUMAN;FGFR2_HUMAN;FGF7_HUMAN;PLCG1_HUMAN;FGF3_HUMAN;FGF6_HUMAN;FGF2_HUMAN;FGF4_HUMAN;FGF1_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;FGF18_HUMAN;FGF16_HUMAN;
Signaling by FGFR3 fusions in cancer,8,FRS2_HUMAN;GAB1_HUMAN;SOS1_HUMAN;PK3CA_HUMAN;P85A_HUMAN;FGFR3_HUMAN;RASK_HUMAN;RASH_HUMAN;
Signaling by FGFR3 point mutants in cancer,18,FGF20_HUMAN;FGF23_HUMAN;FRS2_HUMAN;GAB1_HUMAN;SOS1_HUMAN;PK3CA_HUMAN;FGF9_HUMAN;P85A_HUMAN;FGFR3_HUMAN;FGFR3_HUMAN;PLCG1_HUMAN;FGF2_HUMAN;FGF4_HUMAN;FGF1_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;FGF18_HUMAN;
Signaling by FGFR4 in disease,9,FRS2_HUMAN;GAB1_HUMAN;SOS1_HUMAN;PK3CA_HUMAN;P85A_HUMAN;FGFR4_HUMAN;PLCG1_HUMAN;RASK_HUMAN;RASH_HUMAN;
Signaling by high-kinase activity BRAF mutants,35,TLN1_HUMAN;CNKR1_HUMAN;CNKR2_HUMAN;KSR1_HUMAN;AB1IP_HUMAN;KSR2_HUMAN;MP2K1_HUMAN;ACTG_HUMAN;RAP1A_HUMAN;RAP1B_HUMAN;ACTB_HUMAN;ARRB1_HUMAN;IQGA1_HUMAN;CSK_HUMAN;MP2K2_HUMAN;ARRB2_HUMAN;1433B_HUMAN;PEBP1_HUMAN;MK01_HUMAN;MARK3_HUMAN;MK03_HUMAN;VINC_HUMAN;BRAF_HUMAN;SRC_HUMAN;ARAF_HUMAN;ITA2B_HUMAN;ITB3_HUMAN;VWF_HUMAN;RAF1_HUMAN;FINC_HUMAN;FIBG_HUMAN;FIBB_HUMAN;FIBA_HUMAN;RASK_HUMAN;RASH_HUMAN;
Signaling by Hippo,18,AMOL2_HUMAN;ZO2_HUMAN;LATS2_HUMAN;MOB1A_HUMAN;SAV1_HUMAN;WWTR1_HUMAN;AMOL1_HUMAN;KIBRA_HUMAN;MOB1B_HUMAN;STK3_HUMAN;STK4_HUMAN;ZO1_HUMAN;1433E_HUMAN;YAP1_HUMAN;CASP3_HUMAN;1433B_HUMAN;LATS1_HUMAN;NPHP4_HUMAN;
Signaling by Insulin receptor,1,INSR_HUMAN;
Signaling by Leptin,11,IRS2_HUMAN;SH2B1_HUMAN;PTN11_HUMAN;STA5B_HUMAN;STA5B_HUMAN;STA5A_HUMAN;STA5A_HUMAN;LEP_HUMAN;STAT3_HUMAN;IRS1_HUMAN;JAK2_HUMAN;
Signaling by moderate kinase activity BRAF mutants,39,TLN1_HUMAN;CNKR1_HUMAN;CNKR2_HUMAN;KSR1_HUMAN;AB1IP_HUMAN;BRAP_HUMAN;KSR2_HUMAN;M3K11_HUMAN;MP2K1_HUMAN;ACTG_HUMAN;RAP1A_HUMAN;RAP1B_HUMAN;ACTB_HUMAN;ARRB1_HUMAN;IQGA1_HUMAN;CSK_HUMAN;MP2K2_HUMAN;PHB_HUMAN;ARRB2_HUMAN;1433B_HUMAN;PEBP1_HUMAN;MK01_HUMAN;MARK3_HUMAN;MK03_HUMAN;VINC_HUMAN;BRAF_HUMAN;SRC_HUMAN;ARAF_HUMAN;ITA2B_HUMAN;ITB3_HUMAN;VWF_HUMAN;RAF1_HUMAN;FINC_HUMAN;FIBG_HUMAN;FIBB_HUMAN;FIBA_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;
Signaling by MST1,4,RON_HUMAN;HGFL_HUMAN;HEPS_HUMAN;SPIT2_HUMAN;
Signaling by NODAL,22,NODAL_HUMAN;ACV1C_HUMAN;DAND5_HUMAN;SMAD2_HUMAN;SMAD2_HUMAN;NC2A_HUMAN;AVR2B_HUMAN;SMAD4_HUMAN;SMAD3_HUMAN;SMAD3_HUMAN;TDGF3_HUMAN;ACV1B_HUMAN;PCSK6_HUMAN;GDF1_HUMAN;AVR2A_HUMAN;TDGF1_HUMAN;CFC1_HUMAN;FURIN_HUMAN;CER1_HUMAN;LFTY1_HUMAN;FOXH1_HUMAN;FOXO3_HUMAN;
Signaling by NTRK3 (TRKC),3,PTPRO_HUMAN;NTRK3_HUMAN;PTPRS_HUMAN;
Signaling by PDGF,31,PDGFD_HUMAN;CO9A2_HUMAN;CO9A3_HUMAN;PTN12_HUMAN;CO4A3_HUMAN;CO4A4_HUMAN;TSP3_HUMAN;TSP4_HUMAN;TSP2_HUMAN;CO4A5_HUMAN;CO5A3_HUMAN;CO5A1_HUMAN;CO9A1_HUMAN;PGFRA_HUMAN;CO6A3_HUMAN;CO6A2_HUMAN;CO6A1_HUMAN;OSTP_HUMAN;FURIN_HUMAN;PGFRB_HUMAN;CO4A2_HUMAN;TSP1_HUMAN;CO5A2_HUMAN;PDGFA_HUMAN;CO4A1_HUMAN;CO3A1_HUMAN;CO2A1_HUMAN;PDGFB_HUMAN;TPA_HUMAN;PLMN_HUMAN;CO6A5_HUMAN;
Signaling by plasma membrane FGFR1 fusions,2,FGFR1_HUMAN;BAG4_HUMAN;
Signaling by RAS mutants,52,TLN1_HUMAN;NGAP_HUMAN;SYGP1_HUMAN;CNKR1_HUMAN;CNKR2_HUMAN;KSR1_HUMAN;RASL3_HUMAN;SPRE1_HUMAN;SPRE2_HUMAN;AB1IP_HUMAN;BRAP_HUMAN;KSR2_HUMAN;DAB2P_HUMAN;SPRE3_HUMAN;M3K11_HUMAN;RASA2_HUMAN;RASA3_HUMAN;MP2K1_HUMAN;ACTG_HUMAN;RAP1A_HUMAN;RAP1B_HUMAN;ACTB_HUMAN;ARRB1_HUMAN;IQGA1_HUMAN;CSK_HUMAN;MP2K2_HUMAN;PHB_HUMAN;ARRB2_HUMAN;1433B_HUMAN;PEBP1_HUMAN;MK01_HUMAN;MARK3_HUMAN;MK03_HUMAN;NF1_HUMAN;RASA1_HUMAN;VINC_HUMAN;BRAF_HUMAN;SRC_HUMAN;ARAF_HUMAN;ITA2B_HUMAN;ITB3_HUMAN;VWF_HUMAN;RAF1_HUMAN;FINC_HUMAN;FIBG_HUMAN;FIBB_HUMAN;FIBA_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;RASL1_HUMAN;JAK2_HUMAN;
Signaling by Retinoic Acid,20,CPT1B_HUMAN;PDK4_HUMAN;PDK3_HUMAN;PDK2_HUMAN;PDK1_HUMAN;PPARD_HUMAN;FABP5_HUMAN;CPT1A_HUMAN;RXRG_HUMAN;ODPAT_HUMAN;RABP2_HUMAN;RXRB_HUMAN;RXRA_HUMAN;RARG_HUMAN;ODPB_HUMAN;RARB_HUMAN;ODP2_HUMAN;RARA_HUMAN;DLDH_HUMAN;ODPA_HUMAN;
Signaling by ROBO receptors,21,ROBO1_HUMAN;ROBO1_HUMAN;EVL_HUMAN;EVL_HUMAN;FLRT3_HUMAN;ROBO2_HUMAN;ROBO2_HUMAN;ENAH_HUMAN;ENAH_HUMAN;CXCR4_HUMAN;VASP_HUMAN;VASP_HUMAN;SDF1_HUMAN;PROF2_HUMAN;GPC1_HUMAN;PROF1_HUMAN;SLIT2_HUMAN;SLIT2_HUMAN;SLIT3_HUMAN;SLIT3_HUMAN;SLIT1_HUMAN;
Signaling by SCF-KIT,38,GAB2_HUMAN;PTPRU_HUMAN;P55G_HUMAN;GRB7_HUMAN;GRAP_HUMAN;GRB10_HUMAN;SOS1_HUMAN;PTN11_HUMAN;RAC1_HUMAN;STA5B_HUMAN;TEC_HUMAN;PK3CA_HUMAN;STA5A_HUMAN;STAT1_HUMAN;STAT3_HUMAN;P85A_HUMAN;CMA1_HUMAN;KPCA_HUMAN;FER_HUMAN;VAV_HUMAN;MMP9_HUMAN;KIT_HUMAN;KIT_HUMAN;LYN_HUMAN;LYN_HUMAN;YES_HUMAN;YES_HUMAN;FES_HUMAN;FYN_HUMAN;FYN_HUMAN;LCK_HUMAN;LCK_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;GRAP2_HUMAN;JAK2_HUMAN;CHK1_HUMAN;
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),3,IGF1R_HUMAN;IGF1_HUMAN;IGF2_HUMAN;
Signalling to ERK5,2,MK07_HUMAN;MK07_HUMAN;
Signalling to p38 via RIT and RIN,4,RIT2_HUMAN;RIT1_HUMAN;BRAF_HUMAN;NTRK1_HUMAN;
Signalling to RAS,12,SHC3_HUMAN;SHC3_HUMAN;SOS1_HUMAN;SOS1_HUMAN;SHC2_HUMAN;SHC2_HUMAN;SHC1_HUMAN;SHC1_HUMAN;NTRK1_HUMAN;NGF_HUMAN;RASK_HUMAN;RASH_HUMAN;
Signalling to STAT3,2,STAT3_HUMAN;NTRK1_HUMAN;
SIRT1 negatively regulates rRNA expression,37,TAF1D_HUMAN;H2AJ_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2A1J_HUMAN;H2B1N_HUMAN;SIR1_HUMAN;SIR1_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;H2A1C_HUMAN;H2B3B_HUMAN;H2AV_HUMAN;H32_HUMAN;H2A2A_HUMAN;TAF1B_HUMAN;H2B2E_HUMAN;H2A2C_HUMAN;TAF1A_HUMAN;TAF1C_HUMAN;H33_HUMAN;H31_HUMAN;H2B1C_HUMAN;H4_HUMAN;H2B1D_HUMAN;H2BFS_HUMAN;H2B1B_HUMAN;H2B1O_HUMAN;H2A1D_HUMAN;TBP_HUMAN;H2AX_HUMAN;H2AB1_HUMAN;H2AZ_HUMAN;H2B1J_HUMAN;H2A1B_HUMAN;H2B1K_HUMAN;SUV91_HUMAN;
SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs,10,LSM10_HUMAN;ZN473_HUMAN;SLBP_HUMAN;NCBP1_HUMAN;LSM11_HUMAN;SMD3_HUMAN;RUXG_HUMAN;RUXF_HUMAN;RUXE_HUMAN;NCBP2_HUMAN;
SLBP independent Processing of Histone Pre-mRNAs,9,LSM10_HUMAN;ZN473_HUMAN;NCBP1_HUMAN;LSM11_HUMAN;SMD3_HUMAN;RUXG_HUMAN;RUXF_HUMAN;RUXE_HUMAN;NCBP2_HUMAN;
SLIT2:ROBO1 increases RHOA activity,3,ROBO1_HUMAN;MYO9B_HUMAN;RHOA_HUMAN;
SMAC binds to IAPs ,6,DBLOH_HUMAN;DBLOH_HUMAN;XIAP_HUMAN;XIAP_HUMAN;CASP9_HUMAN;CASP7_HUMAN;
SMAC-mediated dissociation of IAP:caspase complexes ,6,DBLOH_HUMAN;DBLOH_HUMAN;XIAP_HUMAN;XIAP_HUMAN;CASP9_HUMAN;CASP7_HUMAN;
SMAD2/3 MH2 Domain Mutants in Cancer,5,SMAD2_HUMAN;SMAD4_HUMAN;SMAD3_HUMAN;TGFR2_HUMAN;TGFR1_HUMAN;
SMAD2/3 Phosphorylation Motif Mutants in Cancer,4,SMAD2_HUMAN;SMAD3_HUMAN;TGFR2_HUMAN;TGFR1_HUMAN;
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,37,AT1B4_HUMAN;WWTR1_HUMAN;TGIF2_HUMAN;RN111_HUMAN;RN111_HUMAN;E2F4_HUMAN;SMAD2_HUMAN;TGIF1_HUMAN;E2F5_HUMAN;TFDP2_HUMAN;TFDP1_HUMAN;SNW1_HUMAN;HDAC1_HUMAN;SMAD4_HUMAN;SMAD3_HUMAN;RL40_HUMAN;RL40_HUMAN;RS27A_HUMAN;RS27A_HUMAN;CDK9_HUMAN;CDK8_HUMAN;CDN2B_HUMAN;RBL1_HUMAN;CCNC_HUMAN;JUNB_HUMAN;UBC_HUMAN;UBC_HUMAN;UBB_HUMAN;UBB_HUMAN;SP1_HUMAN;PAI1_HUMAN;MYC_HUMAN;CCNK_HUMAN;CCNT2_HUMAN;CCNT1_HUMAN;SMAD7_HUMAN;SMAD7_HUMAN;
SMAD4 MH2 Domain Mutants in Cancer,2,SMAD2_HUMAN;SMAD4_HUMAN;
Small interfering RNA (siRNA) biogenesis,8,DICER_HUMAN;AGO1_HUMAN;AGO2_HUMAN;AGO4_HUMAN;AGO3_HUMAN;TSNAX_HUMAN;TRBP2_HUMAN;TSN_HUMAN;
Smooth Muscle Contraction,36,TLN1_HUMAN;SRBS1_HUMAN;MYL10_HUMAN;MLRS_HUMAN;TRI72_HUMAN;TRI72_HUMAN;MYLK_HUMAN;PAK2_HUMAN;PAK1_HUMAN;CALD1_HUMAN;MYL5_HUMAN;MLRA_HUMAN;TPM4_HUMAN;ACTH_HUMAN;ACTA_HUMAN;MYL6_HUMAN;CAV3_HUMAN;CAV3_HUMAN;ITA1_HUMAN;PAXI_HUMAN;MYH11_HUMAN;LMOD1_HUMAN;MYL9_HUMAN;ML12A_HUMAN;VINC_HUMAN;ITB5_HUMAN;MYL6B_HUMAN;TPM1_HUMAN;ANXA6_HUMAN;TPM2_HUMAN;ANXA2_HUMAN;TPM3_HUMAN;ANXA1_HUMAN;DYSF_HUMAN;DYSF_HUMAN;VINEX_HUMAN;
snRNP Assembly,52,NUP50_HUMAN;DDX20_HUMAN;GEMI8_HUMAN;AAAS_HUMAN;GEMI7_HUMAN;PHAX_HUMAN;NUP85_HUMAN;NUPL1_HUMAN;NDC1_HUMAN;MEP50_HUMAN;NUP88_HUMAN;TGS1_HUMAN;P121A_HUMAN;NU205_HUMAN;GEMI6_HUMAN;NU133_HUMAN;GEMI5_HUMAN;PO210_HUMAN;NUP53_HUMAN;NUP37_HUMAN;NUP43_HUMAN;NUP93_HUMAN;NUP54_HUMAN;NU188_HUMAN;SMN_HUMAN;NU160_HUMAN;NCBP1_HUMAN;RAE1L_HUMAN;SMD3_HUMAN;SMD2_HUMAN;SMD1_HUMAN;RUXG_HUMAN;RUXF_HUMAN;RUXE_HUMAN;NU107_HUMAN;GEMI4_HUMAN;ICLN_HUMAN;NUP98_HUMAN;NUP98_HUMAN;NUP98_HUMAN;NCBP2_HUMAN;RBP2_HUMAN;NU153_HUMAN;NUP62_HUMAN;NU214_HUMAN;RSMB_HUMAN;TPR_HUMAN;SPN1_HUMAN;NU155_HUMAN;NUPL2_HUMAN;GEMI2_HUMAN;ANM5_HUMAN;
Sodium/Calcium exchangers,9,NAC2_HUMAN;NCKX2_HUMAN;NCKX3_HUMAN;NCKX4_HUMAN;NCKX5_HUMAN;NCKX6_HUMAN;NAC3_HUMAN;NAC1_HUMAN;SORCN_HUMAN;
Sodium/Proton exchangers,8,SL9A8_HUMAN;SL9A2_HUMAN;SL9A7_HUMAN;SL9A6_HUMAN;SL9A9_HUMAN;SL9A4_HUMAN;SL9A5_HUMAN;SL9A3_HUMAN;
Sodium-coupled phosphate cotransporters,1,S20A1_HUMAN;
"Sodium-coupled sulphate, di- and tri-carboxylate transporters",4,S13A4_HUMAN;S13A1_HUMAN;S13A3_HUMAN;S13A5_HUMAN;
SOS-mediated signalling,8,IRS2_HUMAN;IRS2_HUMAN;SOS1_HUMAN;SOS1_HUMAN;IRS1_HUMAN;IRS1_HUMAN;RASK_HUMAN;RASH_HUMAN;
Sperm Motility And Taxes,8,CTSRB_HUMAN;CTSR2_HUMAN;HVCN1_HUMAN;CTSR1_HUMAN;CTSR3_HUMAN;CTSRD_HUMAN;CTSR4_HUMAN;CTSRG_HUMAN;
Sperm:Oocyte Membrane Binding,4,IZUM1_HUMAN;IZUM2_HUMAN;IZUM3_HUMAN;IZUM4_HUMAN;
Sphingolipid de novo biosynthesis,42,C43BP_HUMAN;ORML1_HUMAN;VAPA_HUMAN;SPHK1_HUMAN;SPTC3_HUMAN;ACER3_HUMAN;SPHK2_HUMAN;CERS4_HUMAN;KPCD2_HUMAN;SGPP1_HUMAN;SAMD8_HUMAN;CERS2_HUMAN;SPTSA_HUMAN;ACER1_HUMAN;SMS2_HUMAN;SPTSB_HUMAN;CERS5_HUMAN;ORML3_HUMAN;SGPP2_HUMAN;CERS3_HUMAN;SMS1_HUMAN;FA2H_HUMAN;CERS6_HUMAN;DEGS2_HUMAN;PPM1L_HUMAN;ACER2_HUMAN;ORML2_HUMAN;KPCD1_HUMAN;KDSR_HUMAN;KC1G2_HUMAN;AL3B2_HUMAN;AL3B1_HUMAN;CERS1_HUMAN;OSBP1_HUMAN;SGPL1_HUMAN;VAPB_HUMAN;KPCD3_HUMAN;LPP2_HUMAN;SPTC2_HUMAN;SPTC1_HUMAN;DEGS1_HUMAN;LPP3_HUMAN;
Spry regulation of FGF signaling,13,MKNK1_HUMAN;PTN11_HUMAN;PP2AA_HUMAN;RL40_HUMAN;RS27A_HUMAN;PP2AB_HUMAN;2AAA_HUMAN;MK01_HUMAN;MK03_HUMAN;CBL_HUMAN;BRAF_HUMAN;UBC_HUMAN;UBB_HUMAN;
SRP-dependent cotranslational protein targeting to membrane,206,SPCS1_HUMAN;SRPRB_HUMAN;RL36_HUMAN;RL36_HUMAN;RL26L_HUMAN;RL26L_HUMAN;SSRG_HUMAN;SRP68_HUMAN;SRP68_HUMAN;S61A2_HUMAN;SC11C_HUMAN;RL10L_HUMAN;RL10L_HUMAN;RL39L_HUMAN;RL39L_HUMAN;RL36L_HUMAN;RL36L_HUMAN;RL3L_HUMAN;RL3L_HUMAN;RS4Y2_HUMAN;RS4Y2_HUMAN;RS27L_HUMAN;RS27L_HUMAN;RL22L_HUMAN;RL22L_HUMAN;TRAM1_HUMAN;SPCS2_HUMAN;RL18_HUMAN;RL18_HUMAN;RL6_HUMAN;RL6_HUMAN;RL18A_HUMAN;RL18A_HUMAN;RL19_HUMAN;RL19_HUMAN;RL36A_HUMAN;RL36A_HUMAN;RL24_HUMAN;RL24_HUMAN;SC11A_HUMAN;RS21_HUMAN;RS21_HUMAN;RL38_HUMAN;RL38_HUMAN;RL40_HUMAN;RL40_HUMAN;RS27A_HUMAN;RS27A_HUMAN;RL41_HUMAN;RL41_HUMAN;RL8_HUMAN;RL8_HUMAN;RL11_HUMAN;RL11_HUMAN;RL32_HUMAN;RL32_HUMAN;RL10A_HUMAN;RL10A_HUMAN;RL31_HUMAN;RL31_HUMAN;RL39_HUMAN;RL39_HUMAN;RL30_HUMAN;RL30_HUMAN;RS30_HUMAN;RS30_HUMAN;RS28_HUMAN;RS28_HUMAN;RS26_HUMAN;RS26_HUMAN;RS25_HUMAN;RS25_HUMAN;RS24_HUMAN;RS24_HUMAN;RS15_HUMAN;RS15_HUMAN;RL23_HUMAN;RL23_HUMAN;RS6_HUMAN;RS6_HUMAN;RL23A_HUMAN;RL23A_HUMAN;RS4X_HUMAN;RS4X_HUMAN;RL7A_HUMAN;RL7A_HUMAN;RS11_HUMAN;RS11_HUMAN;RS13_HUMAN;RS13_HUMAN;RS29_HUMAN;RS29_HUMAN;RS18_HUMAN;RS18_HUMAN;RS23_HUMAN;RS23_HUMAN;RS14_HUMAN;RS14_HUMAN;RS16_HUMAN;RS16_HUMAN;RS15A_HUMAN;RS15A_HUMAN;RS8_HUMAN;RS8_HUMAN;RS7_HUMAN;RS7_HUMAN;RL37_HUMAN;RL37_HUMAN;S61A1_HUMAN;RL37A_HUMAN;RL37A_HUMAN;RL27_HUMAN;RL27_HUMAN;RL15_HUMAN;RL15_HUMAN;RL26_HUMAN;RL26_HUMAN;RS3A_HUMAN;RS3A_HUMAN;SRP54_HUMAN;SRP54_HUMAN;SPCS3_HUMAN;RS20_HUMAN;RS20_HUMAN;SC61B_HUMAN;SC61G_HUMAN;SSRD_HUMAN;RL14_HUMAN;RL14_HUMAN;SRP09_HUMAN;SRP09_HUMAN;RL34_HUMAN;RL34_HUMAN;RL29_HUMAN;RL29_HUMAN;RS10_HUMAN;RS10_HUMAN;RS5_HUMAN;RS5_HUMAN;RS9_HUMAN;RS9_HUMAN;RL28_HUMAN;RL28_HUMAN;RL21_HUMAN;RL21_HUMAN;RL5_HUMAN;RL5_HUMAN;RL27A_HUMAN;RL27A_HUMAN;SSRB_HUMAN;SSRA_HUMAN;RL35_HUMAN;RL35_HUMAN;RS27_HUMAN;RS27_HUMAN;RL13A_HUMAN;RL13A_HUMAN;OST48_HUMAN;RL3_HUMAN;RL3_HUMAN;RS19_HUMAN;RS19_HUMAN;SRP14_HUMAN;SRP14_HUMAN;RL4_HUMAN;RL4_HUMAN;RL22_HUMAN;RL22_HUMAN;RL9_HUMAN;RL9_HUMAN;RL12_HUMAN;RL12_HUMAN;RL10_HUMAN;RL10_HUMAN;RL13_HUMAN;RL13_HUMAN;RS12_HUMAN;RS12_HUMAN;RS3_HUMAN;RS3_HUMAN;RS4Y1_HUMAN;RS4Y1_HUMAN;RL17_HUMAN;RL17_HUMAN;RL7_HUMAN;RL7_HUMAN;RL35A_HUMAN;RL35A_HUMAN;RS2_HUMAN;RS2_HUMAN;SRP19_HUMAN;SRP19_HUMAN;RSSA_HUMAN;RSSA_HUMAN;RS17_HUMAN;RS17_HUMAN;SRPR_HUMAN;RLA0_HUMAN;RLA0_HUMAN;RLA2_HUMAN;RLA2_HUMAN;RLA1_HUMAN;RLA1_HUMAN;RPN2_HUMAN;RPN1_HUMAN;SRP72_HUMAN;
Stabilization of p53,10,PHF20_HUMAN;CD2A2_HUMAN;ATM_HUMAN;MDM2_HUMAN;RL40_HUMAN;RS27A_HUMAN;UBC_HUMAN;UBB_HUMAN;P53_HUMAN;CHK2_HUMAN;
STAT6-mediated induction of chemokines,2,TBK1_HUMAN;STING_HUMAN;
Sterols are 12-hydroxylated by CYP8B1,1,CP8B1_HUMAN;
Stimulation of the cell death response by PAK-2p34,1,PAK2_HUMAN;
Stimuli-sensing channels,77,CLCA3_HUMAN;WNK2_HUMAN;CLCA2_HUMAN;TPC1_HUMAN;ASIC3_HUMAN;UNC79_HUMAN;ASIC5_HUMAN;ANO10_HUMAN;ANO2_HUMAN;ANO8_HUMAN;SGK2_HUMAN;WNK1_HUMAN;TTYH1_HUMAN;WWP1_HUMAN;TTYH3_HUMAN;ANO3_HUMAN;WNK3_HUMAN;TTYH2_HUMAN;T22D3_HUMAN;NED4L_HUMAN;WNK4_HUMAN;ASIC4_HUMAN;SGK3_HUMAN;RYR2_HUMAN;BSND_HUMAN;STML3_HUMAN;TPC2_HUMAN;BEST2_HUMAN;BEST4_HUMAN;UNC80_HUMAN;BEST3_HUMAN;NALCN_HUMAN;OSTM1_HUMAN;SL9B2_HUMAN;ANO5_HUMAN;ANO7_HUMAN;ANO1_HUMAN;SL9C2_HUMAN;SL9B1_HUMAN;ANO6_HUMAN;SL9C1_HUMAN;ANO4_HUMAN;ASIC2_HUMAN;RYR3_HUMAN;CLCA4_HUMAN;TRDN_HUMAN;ASPH_HUMAN;ASIC1_HUMAN;FKB1B_HUMAN;RL40_HUMAN;RS27A_HUMAN;CLCKB_HUMAN;CLCKA_HUMAN;CLCN7_HUMAN;CLCN6_HUMAN;CLCN5_HUMAN;CLCN4_HUMAN;CLCN3_HUMAN;CLCN2_HUMAN;SCNND_HUMAN;SCNNG_HUMAN;SCNNB_HUMAN;SCNNA_HUMAN;CLCN1_HUMAN;CASQ1_HUMAN;SORCN_HUMAN;STOM_HUMAN;RYR1_HUMAN;UBC_HUMAN;UBB_HUMAN;RAF1_HUMAN;BEST1_HUMAN;CLIC2_HUMAN;CASQ2_HUMAN;NPT4_HUMAN;SGK1_HUMAN;CLCA1_HUMAN;
STING mediated induction of host immune responses,4,DDX41_HUMAN;CGAS_HUMAN;STING_HUMAN;IF16_HUMAN;
Striated Muscle Contraction,35,TMOD2_HUMAN;TMOD4_HUMAN;TMOD3_HUMAN;TITIN_HUMAN;MYPC3_HUMAN;MYPC2_HUMAN;ACTN3_HUMAN;MYPC1_HUMAN;ACTS_HUMAN;ACTC_HUMAN;TPM4_HUMAN;TNNC1_HUMAN;TNNI2_HUMAN;TNNT2_HUMAN;TNNT3_HUMAN;ACTN2_HUMAN;TMOD1_HUMAN;NEBU_HUMAN;TNNI3_HUMAN;TNNI1_HUMAN;DESM_HUMAN;TNNT1_HUMAN;MYH8_HUMAN;MYH6_HUMAN;MYL4_HUMAN;DMD_HUMAN;MYH3_HUMAN;MLRV_HUMAN;TPM1_HUMAN;VIME_HUMAN;MYL3_HUMAN;TPM2_HUMAN;TPM3_HUMAN;MYL1_HUMAN;TNNC2_HUMAN;
Sulfide oxidation to sulfate,6,SQRD_HUMAN;SQRD_HUMAN;DIC_HUMAN;TSTD1_HUMAN;THTR_HUMAN;SUOX_HUMAN;
Sulfur amino acid metabolism,5,MTRR_HUMAN;BHMT2_HUMAN;METH_HUMAN;BHMT1_HUMAN;METK1_HUMAN;
SUMO is conjugated to E1 (UBA2:SAE1),6,SAE2_HUMAN;SAE2_HUMAN;SAE1_HUMAN;SAE1_HUMAN;SUMO1_HUMAN;SUMO2_HUMAN;
SUMO is proteolytically processed,5,SENP1_HUMAN;SENP2_HUMAN;SENP5_HUMAN;SUMO1_HUMAN;SUMO2_HUMAN;
"SUMO is transferred from E1 to E2 (UBE2I, UBC9)",9,RWDD3_HUMAN;SAE2_HUMAN;SAE2_HUMAN;SAE1_HUMAN;SAE1_HUMAN;UBC9_HUMAN;UBC9_HUMAN;SUMO1_HUMAN;SUMO2_HUMAN;
SUMOylation of chromatin organization proteins,59,SATB2_HUMAN;NUP50_HUMAN;AAAS_HUMAN;CBX8_HUMAN;NUP85_HUMAN;NUPL1_HUMAN;NDC1_HUMAN;NUP88_HUMAN;RING2_HUMAN;P121A_HUMAN;SCMH1_HUMAN;LMBL2_HUMAN;HDAC2_HUMAN;NU205_HUMAN;NU133_HUMAN;PO210_HUMAN;NUP53_HUMAN;NUP37_HUMAN;NUP43_HUMAN;PHC3_HUMAN;NUP93_HUMAN;PHC2_HUMAN;NUP54_HUMAN;NU188_HUMAN;SUZ12_HUMAN;CBX2_HUMAN;HDAC1_HUMAN;CHD3_HUMAN;NU160_HUMAN;RING1_HUMAN;SATB1_HUMAN;RAE1L_HUMAN;PHC1_HUMAN;UBC9_HUMAN;UBC9_HUMAN;SUMO1_HUMAN;SUMO1_HUMAN;H4_HUMAN;SUMO2_HUMAN;NU107_HUMAN;HDAC4_HUMAN;SUMO3_HUMAN;NUP98_HUMAN;NUP98_HUMAN;NUP98_HUMAN;RBP2_HUMAN;NU153_HUMAN;CBX5_HUMAN;NUP62_HUMAN;NU214_HUMAN;PCGF2_HUMAN;BMI1_HUMAN;TPR_HUMAN;ZBED1_HUMAN;PIAS2_HUMAN;PIAS1_HUMAN;NU155_HUMAN;NUPL2_HUMAN;CBX4_HUMAN;
